id,parent_id:id,name
disease_category_1,"","All"
disease_category_2,disease_category_1,"Deficiency Diseases"
disease_category_3,disease_category_2,"Vitamin Deficiency"
disease_category_4,disease_category_2,"Mineral Deficiency"
disease_category_5,disease_category_2,"Protein Deficiency"
disease_category_6,disease_category_1,"Infectious Diseases"
disease_category_7,disease_category_6,"Viral Infections"
disease_category_8,disease_category_6,"bacterial Infections"
disease_category_9,disease_category_6,"Fungal Infections"
disease_category_10,disease_category_6,"Parasitic Infections"
disease_category_11,disease_category_1,"Hereditary Diseases"
disease_category_12,disease_category_11,"Genetic Diseases"
disease_category_13,disease_category_11,"Non-genetic Diseases"
disease_category_14,disease_category_1,"Physiological Diseases"
